file,name,x,y,z,majorRadius,bRadius,minorRadius,theta_x,theta_y,theta_z
t172.tif,Cell type 1_2110000,263.544,131.081,119.111,17.7821,15.0895,13.0543,1.46546,-0.732884,0.44971
t172.tif,Cell type 1_2101011,518.223,135.033,78.9357,13.1506,12.2949,11.6312,2.62003,-0.280056,-1.18756
t172.tif,Cell type 1_301001,475.768,219.097,51.0892,17.0778,16.2052,12.7238,0.0918468,-0.114578,-0.858255
t172.tif,Cell type 1_1000100,167.79,165.339,83.8559,13.8853,13.417,11.202,-0.739227,0.549123,1.48947
t172.tif,Cell type 1_41110,442.948,206.94,87.5656,17.7273,16.9513,15.2858,0.0770863,-0.134302,-0.150829
t172.tif,Cell type 1_111111,522.32,167.895,63.8316,15.2332,14.3352,12.9953,0.0484233,0.303247,0.795679
t172.tif,Cell type 1_41001,387.139,251.7,108.962,17.5481,15.1253,14.4587,1.5691,0.190258,-1.68375
t172.tif,Cell type 1_1000011,126.088,331.92,107.353,20.8899,12.9388,12.4469,1.05542,1.18493,3.07574
t172.tif,Cell type 1_41111,497.312,233.786,79.9852,20.0117,17.8665,14.7642,0.0549613,-0.445367,0.0541881
t172.tif,Cell type 1_1001110,200.041,224.274,58.6798,13.4567,11.7606,11.431,-3.05691,1.34956,1.74295
t172.tif,Cell type 1_41000,388.802,234.038,82.4517,20.1308,12.6731,10.4586,-0.183552,-1.11104,-2.89463
t172.tif,Cell type 1_1100101,239.627,301.814,129.301,16.471,14.6587,14.1682,-0.119476,0.380194,0.766315
t172.tif,Cell type 1_3100,431.923,247.466,143.478,20.9786,15.2919,14.3618,2.05775,1.42008,1.79879
t172.tif,Cell type 1_41101,454.913,284.345,77.8646,19.1612,18.0413,14.1465,0.0824964,0.0251436,-0.54364
t172.tif,Cell type 1_3101,384.848,312.482,136.21,22.0362,18.1233,16.0553,-0.688076,-0.338676,-0.195069
t172.tif,Cell type 1_41100,504.155,273.091,101.742,20.8734,19.2731,16.4425,0.150737,-0.420917,0.534633
t172.tif,Cell type 1_300011,565.933,293.972,145.749,18.9732,14.4062,11.2764,1.41963,1.39391,1.32024
t172.tif,Cell type 1_2000001,227.284,329.304,48.9587,14.0591,11.9559,10.7785,-0.418726,-0.88708,-2.29251
t172.tif,Cell type 1_2000100,204.688,387.059,63.7758,14.1742,13.0931,12.1683,-1.94356,-0.939178,0.375189
t172.tif,Cell type 1_2010100,361.235,363.192,171.382,19.1385,15.3336,10.7062,-1.73034,-1.13016,0.948623
t172.tif,Cell type 1_201101,403.744,416.784,145.371,18.5495,15.4119,9.87176,-1.5067,1.1255,-1.63641
t172.tif,Cell type 1_2110011,316.373,108.729,130.954,15.0835,14.3561,12.1056,0.968388,-0.54749,1.7638
t172.tif,Cell type 1_2001000,551.011,353.66,93.1875,19.7338,17.948,10.748,-0.0800885,0.59722,-0.477119
t172.tif,Cell type 1_2100110,265.905,166.609,52.171,15.0236,10.7738,10.0651,0.891942,-0.226435,-1.22746
t172.tif,Cell type 1_2101001,442.02,121.573,84.3201,15.6911,15.0705,13.0526,1.11748,0.785813,0.130083
t172.tif,Cell type 1_301100,509.624,181.349,112.24,19.7257,15.9291,11.846,-0.663455,0.616554,-0.672808
t172.tif,Cell type 1_2000010,297.261,367.805,52.2548,19.5044,14.8778,10.1068,1.5151,-0.369869,-1.7843
t172.tif,Cell type 1_1110101,305.584,186.593,54.318,19.1474,13.9222,10.35,1.93476,-0.130865,0.241224
t172.tif,Cell type 1_2010000,266.548,413.798,120.373,17.4158,15.6428,11.7167,2.4803,-1.3736,-2.42865
t172.tif,Cell type 1_1000110,173.422,164.007,112.61,15.7934,14.2877,9.18963,2.09841,-0.868027,2.74953
t172.tif,Cell type 1_1000111,146.124,181.95,128.201,15.5811,13.6567,10.5969,-1.696,-0.629861,0.107023
t172.tif,Cell type 1_1100010,144.79,230.279,135.599,17.8618,14.2885,12.4337,-2.03319,1.06274,-2.76558
t172.tif,Cell type 1_1100011,159.226,265.264,119.748,18.4983,15.9958,12.7789,-0.724232,0.683668,1.80782
t172.tif,Cell type 1_2100010,199.682,133.285,107.545,18.5016,16.2252,11.151,-1.6553,0.579171,-2.05459
t172.tif,Cell type 1_1101110,263.795,187.074,170.644,19.6976,16.9394,10.4301,-1.62739,-1.1643,1.30132
t172.tif,Cell type 1_2001110,506.346,383.105,145.84,16.8927,15.771,14.5543,-0.392593,0.896015,-0.0751384
t172.tif,Cell type 1_2001111,555.061,359.443,158.618,17.1778,16.0121,13.7233,-1.98181,-1.42277,1.16674
t172.tif,Cell type 1_1111100,386.091,154.736,55.4236,15.2338,13.4887,13.1016,0.395791,-0.0701912,-0.577085
t172.tif,Cell type 1_2111011,492.889,117.308,127.534,15.3922,13.056,10.4479,-1.33741,-1.22557,-1.15698
t172.tif,Cell type 1_2101101,525.264,143.93,142.915,17.3783,15.8217,14.3072,-0.116235,0.00665701,-0.89598
t172.tif,Cell type 1_20111110,458.808,410.575,139.358,18.3355,17.2822,10.2455,1.28978,1.30562,0.922288
t172.tif,Cell type 1_2001010,451.055,393.778,69.5432,16.6082,14.9386,13.3365,-0.34863,-0.266818,-1.80193
t172.tif,Cell type 1_2001011,396.004,388.304,64.2969,18.7511,15.2908,8.76843,-1.42781,0.749491,-1.32232
t172.tif,Cell type 1_10010010,152.393,263.98,82.7696,15.5392,13.7246,10.3668,0.875995,-0.671019,-0.714438
t172.tif,Cell type 1_10010011,145.833,305.645,82.932,17.75,15.7029,9.62256,0.768387,-0.78287,-0.488915
t172.tif,Cell type 1_11111010,470.372,138.357,61.0065,15.8956,15.0341,12.4118,-1.87794,0.397265,0.433269
t172.tif,Cell type 1_300100,518.295,334.51,114.98,20.1783,14.9549,13.5631,0.198044,0.620809,0.481749
t172.tif,Cell type 1_300101,529.573,296.69,137.617,19.6888,15.9448,13.5442,-2.1377,-0.606141,1.31411
t172.tif,Cell type 1_2111000,408.951,141.31,163.322,18.5041,16.5777,14.1578,-1.45476,-0.864678,2.42729
t172.tif,Cell type 1_2111001,350.448,121.248,138.369,17.3838,16.6845,12.726,-0.637321,1.04516,-0.349286
t172.tif,Cell type 1_301110,496.867,220.647,150.286,16.971,16.0523,13.7741,0.892118,-0.285175,-0.627952
t172.tif,Cell type 1_301111,452.575,192.53,150.097,19.6281,16.3829,14.7117,1.2432,-0.18598,0.724225
t172.tif,Cell type 1_1111010,451.939,327.452,54.0362,15.2982,14.6596,12.6029,0.277011,0.0317374,0.334345
t172.tif,Cell type 1_1111011,402.472,309.958,49.5375,15.1218,14.2345,11.8572,-3.08454,-0.316727,2.67246
t172.tif,Cell type 1_1111000,535.125,322.758,72.8609,16.5642,14.9815,13.2603,-0.841591,0.167878,-0.105215
