cellType,z,y,x,name,file,manualCategory,pairId,pairRole,aRadius,bRadius,cRadius,theta_x,theta_y,theta_z,voxel_size_x,voxel_size_y,voxel_size_z,finalized,notes
Cell type 1,19.250853,163.257418,445.169058,t018_cell_004,t018.tif,mature cell,,,18.857730,15.701524,4.154818,0.000000,0.000000,0.000000,1.000000,1.000000,7.000000,1,auto detected by Cell Lumen and PCA; source=CellLumen_auto_detect_t018_018.csv; z radius converted for napari display
Cell type 1,11.057606,166.814144,325.018713,t018_cell_005,t018.tif,mature cell,,,12.923290,18.957857,2.791469,0.000000,0.000000,0.000000,1.000000,1.000000,7.000000,1,auto detected by Cell Lumen and PCA; source=CellLumen_auto_detect_t018_018.csv; z radius converted for napari display
Cell type 1,13.807781,169.861179,290.682744,t018_cell_008,t018.tif,mature cell,,,18.295914,17.911009,2.613702,0.000000,0.000000,0.000000,1.000000,1.000000,7.000000,1,auto detected by Cell Lumen and PCA; source=CellLumen_auto_detect_t018_018.csv; z radius converted for napari display
Cell type 1,20.532503,201.238710,458.872196,t018_cell_010,t018.tif,mature cell,,,22.485797,14.984925,3.764504,0.000000,0.000000,0.000000,1.000000,1.000000,7.000000,1,auto detected by Cell Lumen and PCA; source=CellLumen_auto_detect_t018_018.csv; z radius converted for napari display
Cell type 1,18.119603,263.061741,169.582192,t018_cell_011,t018.tif,mature cell,,,22.556955,22.733342,2.214955,0.000000,0.000000,0.000000,1.000000,1.000000,7.000000,1,auto detected by Cell Lumen and PCA; source=CellLumen_auto_detect_t018_018.csv; z radius converted for napari display
Cell type 1,8.693229,262.573081,491.397279,t018_cell_013,t018.tif,mature cell,,,31.973147,39.181488,3.780405,0.000000,0.000000,0.000000,1.000000,1.000000,7.000000,1,auto detected by Cell Lumen and PCA; source=CellLumen_auto_detect_t018_018.csv; z radius converted for napari display
Cell type 1,22.963903,286.882385,320.075439,t018_cell_015,t018.tif,mature cell,,,33.835653,38.057660,5.268857,0.000000,0.000000,0.000000,1.000000,1.000000,7.000000,1,auto detected by Cell Lumen and PCA; source=CellLumen_auto_detect_t018_018.csv; z radius converted for napari display
Cell type 1,17.867079,336.490352,565.221397,t018_cell_018,t018.tif,mature cell,,,29.836000,27.137877,3.295000,0.000000,0.000000,0.000000,1.000000,1.000000,7.000000,1,auto detected by Cell Lumen and PCA; source=CellLumen_auto_detect_t018_018.csv; z radius converted for napari display
Cell type 1,13.318266,366.645925,301.403107,t018_cell_020,t018.tif,mature cell,,,22.750722,20.816713,2.462082,0.000000,0.000000,0.000000,1.000000,1.000000,7.000000,1,auto detected by Cell Lumen and PCA; source=CellLumen_auto_detect_t018_018.csv; z radius converted for napari display
Cell type 1,19.558903,358.721826,471.130193,t018_cell_023,t018.tif,mature cell,,,37.931782,44.838654,4.316685,0.000000,0.000000,0.000000,1.000000,1.000000,7.000000,1,auto detected by Cell Lumen and PCA; source=CellLumen_auto_detect_t018_018.csv; z radius converted for napari display
Cell type 1,10.830205,340.666665,288.747114,M001,t018.tif,mature cell,,,18.920925,20.817000,2.619428,0.000000,0.000000,0.000000,1.000000,1.000000,7.000000,0,
Cell type 1,13.713135,245.619550,160.024676,M002,t018.tif,mature cell,,,22.486000,20.781137,1.758638,0.000000,0.000000,0.000000,1.000000,1.000000,7.000000,0,
