file,name,x,y,z,aRadius,bRadius,cRadius,theta_x,theta_y,theta_z,isTrash
t025.tif,trash_1,160.702,342.309,37.1937,13.4738,11.9934,10.3981,-2.12091,0.931599,-2.6674,1
t025.tif,cell_30,478.446,213.189,79.1125,41.869,39.4421,29.4316,0.109521,-0.127433,-1.00744,0
t025.tif,cell_31,576.057,262.14,111.792,36.8775,34.8342,29.161,2.67424,-0.0790424,-1.29066,0
t025.tif,cell_010,507.962,247.479,159.836,37.6621,34.7833,30.0042,-0.148901,0.817278,-2.33281,0
t025.tif,cell_011,380.758,131.515,157.206,38.178,36.1212,31.1474,0.28234,-0.660854,-1.00553,0
t025.tif,cell_000,377.819,352.054,63.4808,34.9555,33.8908,27.9245,0.0106727,0.00110291,1.2198,0
t025.tif,cell_001,250.094,247.356,61.9076,36.6513,35.085,27.188,0.0957434,0.0356186,-1.9917,0
t025.tif,cell_100,131.147,226.727,109.838,38.5704,35.3018,31.8583,2.9187,0.0798459,2.27028,0
t025.tif,cell_101,183.981,351.129,103.99,36.9905,35.8644,32.6185,0.028658,-0.22984,2.82395,0
t025.tif,cell_110,236.297,196.36,161.899,36.9408,35.1222,31.7198,0.264722,0.70329,0.0473517,0
t025.tif,cell_111,333.221,147.151,79.5957,37.0769,35.8154,29.3395,-3.09416,-0.0587699,-2.98761,0
t025.tif,cell_210,298.771,335.155,136.823,28.5969,22.0244,14.2432,1.44988,-0.77576,1.3346,0
t025.tif,cell_211,364.987,296.186,139.906,23.0653,21.9143,14.0559,-2.27656,1.17684,-2.701,0
t025.tif,cell_200,453.707,373.216,124.269,25.177,23.2499,12.7566,2.67158,1.38954,2.28392,0
t025.tif,cell_201,502.874,353.496,113.888,25.3439,24.0375,12.8229,2.67083,1.44723,2.15994,0
