frame,index,slices,pixels,dtype,channels,global_mean,top10_mean,top10_threshold_min,min,max
t000,0,35,12687360,uint8,3,27.730305595490314,61.823410071125906,38.0,14.0,255.0
t001,1,35,12687360,uint8,3,27.813295437348668,62.40059082425343,38.0,12.0,253.0
t002,2,35,12687360,uint8,3,27.754437960300645,60.82186365012107,39.0,13.0,251.0
t003,3,35,12687360,uint8,3,27.78809334644875,61.089987199858754,39.0,13.0,253.0
t004,4,35,12687360,uint8,3,27.73837977325464,60.86205719708434,39.0,14.0,253.0
t005,5,35,12687360,uint8,3,27.675855654761904,59.95952270606336,39.0,14.0,246.0
t006,6,35,12687360,uint8,3,26.51168674964689,53.892392901281276,33.0,13.0,252.0
t007,7,35,12687360,uint8,3,26.591360062298225,54.70554867206417,33.0,14.0,249.0
t008,8,35,12687360,uint8,3,26.57830391823043,54.84899537807708,33.0,13.0,252.0
t009,9,35,12687360,uint8,3,26.567762087621066,54.58936926200565,33.0,14.0,250.0
t010,10,35,12687360,uint8,3,26.600717879842616,55.028596177613,33.0,15.0,253.0
t011,11,35,12687360,uint8,3,26.622597608958838,55.36728681144068,33.0,15.0,250.0
t012,12,35,12687360,uint8,3,26.591862609715495,55.320399988650124,33.0,14.0,255.0
t013,13,35,12687360,uint8,3,26.591811219985875,55.447022075514525,32.0,15.0,254.0
t014,14,35,12687360,uint8,3,26.628834209796207,55.84870217287127,32.0,14.0,254.0
t015,15,35,12687360,uint8,3,26.691988246569814,56.50943458686441,33.0,13.0,253.0
t016,16,35,12687360,uint8,3,26.68088428167877,55.50101833635997,34.0,14.0,246.0
t017,17,35,12687360,uint8,3,26.628226991273205,54.83601474223164,34.0,13.0,250.0
t018,18,35,12687360,uint8,3,26.639349242080307,54.918670235573046,34.0,15.0,249.0
t019,19,35,12687360,uint8,3,26.61940986935028,54.84409207274011,33.0,15.0,250.0
t020,20,35,12687360,uint8,3,26.647732073496773,55.22352561919895,33.0,12.0,246.0
t021,21,35,12687360,uint8,3,26.631131299182808,55.320025600282484,33.0,14.0,248.0
t022,22,35,12687360,uint8,3,26.648072412227602,55.49044639704399,33.0,15.0,249.0
t023,23,35,12687360,uint8,3,26.69829846398305,55.90923958963882,33.0,15.0,246.0
t024,24,35,12687360,uint8,3,26.73233990365214,56.28506087948951,33.0,14.0,254.0
t025,25,35,12687360,uint8,3,26.704478000151333,56.192142415758674,33.0,15.0,251.0
t026,26,35,12687360,uint8,3,26.688829985119046,56.082753228410006,33.0,15.0,250.0
t027,27,35,12687360,uint8,3,26.7197859917272,56.288732250050444,33.0,14.0,253.0
t028,28,35,12687360,uint8,3,26.667032227350685,56.03040742912631,33.0,15.0,248.0
t029,29,35,12687360,uint8,3,26.734167707072235,56.59699417372882,33.0,15.0,244.0
t030,30,35,12687360,uint8,3,26.76979529232244,56.923486840445925,33.0,15.0,247.0
t031,31,35,12687360,uint8,3,26.775155115012108,57.03187109059726,33.0,15.0,251.0
t032,32,35,12687360,uint8,3,26.799811465899918,57.22130372276029,33.0,14.0,254.0
t033,33,35,12687360,uint8,3,26.836602098466507,56.48651413690476,34.0,14.0,255.0
t034,34,35,12687360,uint8,3,26.837336057304277,56.51712018891243,34.0,15.0,255.0
t035,35,35,12687360,uint8,3,26.886263020833333,56.81175122326473,35.0,15.0,255.0
t036,36,35,12687360,uint8,3,26.904563597154965,57.000813407990314,35.0,15.0,250.0
t037,37,35,12687360,uint8,3,26.93668138998184,57.467246141041166,35.0,14.0,245.0
t038,38,35,12687360,uint8,3,26.921950035310733,57.569994072841,34.0,14.0,255.0
t039,39,35,12687360,uint8,3,26.926011242685632,57.80291802234665,34.0,14.0,245.0
t040,40,35,12687360,uint8,3,26.99575514527845,58.47869848416061,34.0,13.0,245.0
t041,41,35,12687360,uint8,3,27.01395404560129,58.71444729242332,34.0,15.0,251.0
t042,42,35,12687360,uint8,3,27.051813616071428,59.050190898658194,34.0,14.0,249.0
t043,43,35,12687360,uint8,3,27.075509168179984,59.16861427436441,34.0,15.0,248.0
t044,44,35,12687360,uint8,3,27.178656867937853,59.948411647497984,35.0,15.0,251.0
